(1, 3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 9, 11, 16, 18, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 9, 12, 15, 16, 18, 19, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 9, 12, 15, 18, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 9, 13, 14, 16, 18, 19, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 9, 13, 14, 18, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 11, 16, 17, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 12, 15, 16, 17, 19, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 12, 15, 17, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 12, 16, 17, 18, 19, 21, 22, 23, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 19, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 10, 13, 14, 17, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 19, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 16, 18, 19, 21, 22, 23, 25, 26)
(1, 3, 4, 5, 6, 7, 9, 10, 11, 16, 17, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 9, 10, 12, 15, 17, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 9, 10, 13, 14, 16, 17, 18, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 9, 10, 13, 14, 17, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 9, 11, 12, 15, 16, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 9, 11, 13, 14, 16, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 18, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 18, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 10, 11, 12, 15, 16, 17, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 16, 17, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26)
(1, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 17, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 7, 10, 12, 13, 14, 16, 17, 18, 21, 22, 23, 25, 26)
(1, 3, 4, 5, 6, 7, 10, 12, 13, 14, 16, 18, 19, 21, 22, 23, 24, 25)
(1, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 10, 11, 16, 17, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 10, 12, 15, 17, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 10, 13, 14, 17, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 11, 12, 15, 16, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 11, 13, 14, 16, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 9, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 10, 11, 12, 15, 16, 17, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 10, 11, 13, 14, 16, 17, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 17, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 19, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 9, 10, 11, 12, 15, 16, 17, 18, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 9, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 10, 12, 15, 17, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 17, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 11, 12, 15, 16, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 11, 13, 14, 16, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 10, 11, 12, 15, 16, 17, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22, 23, 26)
(1, 3, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19, 22, 23, 25, 26)
(1, 3, 4, 5, 7, 8, 10, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26)
(1, 3, 4, 5, 7, 8, 11, 12, 13, 14, 15, 16, 19, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 8, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 26)
(1, 3, 4, 5, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 9, 10, 11, 13, 14, 16, 17, 18, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 17, 18, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23, 24, 26)
(1, 3, 4, 5, 7, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 22, 23, 26)
(1, 3, 4, 5, 7, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24)
(1, 3, 4, 5, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 22, 23, 24, 26)
(1, 3, 4, 5, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 22, 23, 24, 26)
(1, 3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 22, 23, 24, 26)
(1, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26)
(1, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 22, 23, 24, 26)
(1, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 26)
(1, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 23, 24, 25, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 12, 15, 17, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 23, 24, 25, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 13, 14, 17, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19, 22, 24, 25, 26)
(1, 3, 4, 6, 7, 8, 9, 10, 13, 15, 17, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 11, 12, 15, 16, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 11, 13, 14, 16, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 11, 13, 15, 16, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 4, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 23, 24, 25, 26)
(1, 3, 4, 6, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 10, 11, 12, 15, 16, 17, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 10, 11, 13, 15, 16, 17, 19, 20, 21, 22, 24, 26)
(1, 3, 4, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 23, 24, 25, 26)
(1, 3, 4, 6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26)
(1, 3, 4, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 25, 26)
(1, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 19, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 9, 10, 11, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 20, 21, 22, 24, 26)
(1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 23, 24, 25, 26)
(1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 26)
(1, 3, 4, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 21, 23, 24, 26)
(1, 3, 4, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 23, 24, 26)
(1, 3, 4, 6, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26)
(1, 3, 4, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 23, 24, 26)
(1, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 21, 23, 24, 26)
(1, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 26)
(1, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 26)
(1, 3, 4, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 23, 24, 26)
(1, 3, 4, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 23, 24, 26)
(1, 3, 4, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 22, 24, 26)
(1, 3, 4, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 23, 24, 26)
(1, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 23, 24, 26)
(1, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 26)
(1, 3, 4, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 26)
(1, 3, 4, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 26)
(1, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 23, 24, 26)
(1, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 23, 24, 25, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 17, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 22, 24, 25, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 12, 15, 17, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 22, 24, 25, 26)
(1, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 11, 12, 14, 16, 18, 19, 20, 21, 23, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 11, 12, 15, 16, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 11, 13, 14, 16, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 22, 24, 25, 26)
(1, 3, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 10, 11, 12, 14, 16, 17, 19, 20, 21, 23, 24, 26)
(1, 3, 5, 6, 7, 8, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 22, 24, 25, 26)
(1, 3, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19, 21, 22, 25, 26)
(1, 3, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 23, 24, 26)
(1, 3, 5, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 9, 10, 11, 13, 14, 16, 17, 18, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26)
(1, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 24, 26)
(1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 21, 23, 24, 26)
(1, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 21, 22, 24, 26)
(1, 3, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 24, 26)
(1, 3, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 22, 24, 26)
(1, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 24, 26)
(1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 26)
(1, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 26)
(1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 23, 24, 26)
(1, 3, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 26)
(1, 3, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 22, 24, 26)
(1, 3, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 22, 24, 26)
(1, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 24, 26)
(1, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 24, 26)
(1, 3, 5, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 26)
(1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26)
(1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 26)
(1, 3, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 24, 26)
(1, 3, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 24, 26)
(1, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 24, 25, 26)
(1, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 24, 26)
(1, 3, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 24, 26)
(1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 24, 26)
(1, 3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 24, 26)
(1, 3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 24, 26)
(1, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 19, 20, 22, 23, 24, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 22, 23, 25, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 12, 15, 17, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 19, 20, 22, 23, 24, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 22, 23, 25, 26)
(1, 4, 5, 6, 7, 8, 9, 10, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 19, 20, 22, 23, 24, 26)
(1, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25, 26)
(1, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 22, 23, 25, 26)
(1, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 9, 10, 11, 12, 15, 16, 18, 19, 20, 21, 22, 23, 24)
(1, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 20, 22, 23, 24, 26)
(1, 4, 5, 6, 7, 9, 10, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 9, 10, 11, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24)
(1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 22, 23, 25, 26)
(1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25)
(1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24)
(1, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 26)
(1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24)
(1, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 21, 22, 23, 26)
(1, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 22, 23, 24, 26)
(1, 4, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 23, 26)
(1, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 26)
(1, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 26)
(1, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 26)
(1, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 26)
(1, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24)
(1, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 22, 23, 26)
(1, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 22, 23, 26)
(1, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 26)
(1, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 26)
(1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 26)
(1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 26)
(1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24)
(1, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 26)
(1, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 26)
(1, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 23, 24, 26)
(1, 4, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 23, 26)
(1, 4, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 26)
(1, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 23, 25, 26)
(1, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 26)
(1, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 26)
(1, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 26)
(1, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 26)
(1, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24)
(1, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 26)
(1, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 26)
(1, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 23, 24, 26)
(1, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 26)
(1, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 26)
(1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 22, 24, 26)
(1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 26)
(1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 22, 25, 26)
(1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 26)
(1, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 26)
(1, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 26)
(1, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 26)
(1, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24)
(1, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 26)
(1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 26)
(1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 16, 17, 20, 22, 23, 24, 25, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 11, 16, 17, 18, 20, 21, 22, 23, 25, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 11, 16, 18, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 17, 18, 20, 21, 22, 23, 25, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 17, 20, 22, 23, 24, 25, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 17, 18, 20, 21, 22, 23, 25, 26)
(2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 10, 11, 16, 17, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 17, 19, 20, 21, 22, 23, 24, 25)
(2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25)
