(1, 2, 3, 4, 5, 6, 9, 10, 12, 13, 16, 17, 19, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 10, 12, 14, 15, 17, 19, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 10, 13, 14, 15, 16, 19, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 16, 17, 18, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 11, 12, 14, 15, 17, 18, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 11, 13, 14, 15, 16, 18, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 9, 12, 13, 14, 15, 16, 17, 20, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 16, 17, 18, 19, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 17, 18, 19, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 10, 11, 13, 14, 15, 16, 18, 19, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 10, 12, 13, 14, 15, 16, 17, 19, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 23, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 16, 19, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 15, 19, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 16, 18, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 11, 14, 15, 18, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 16, 17, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 12, 14, 15, 17, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 9, 13, 14, 15, 16, 20, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 17, 18, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 16, 18, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 11, 14, 15, 18, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 12, 13, 16, 17, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 12, 14, 15, 17, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 10, 13, 14, 15, 16, 19, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 16, 17, 18, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 11, 12, 14, 15, 17, 18, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 11, 13, 14, 15, 16, 18, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 15, 16, 17, 21, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 17, 18, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 16, 18, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 11, 14, 15, 18, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 12, 14, 15, 17, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 10, 13, 14, 15, 16, 19, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 11, 12, 13, 16, 17, 18, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 17, 18, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 11, 13, 14, 15, 16, 18, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 9, 12, 13, 14, 15, 16, 17, 20, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 16, 17, 18, 19, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 10, 11, 12, 14, 15, 17, 18, 19, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 10, 11, 13, 14, 15, 16, 18, 19, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 16, 17, 19, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 16, 18, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 12, 13, 16, 17, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 12, 14, 15, 17, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 10, 13, 14, 15, 16, 19, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 16, 17, 18, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 11, 13, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 16, 17, 20, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 15, 17, 18, 19, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 10, 11, 13, 14, 15, 16, 18, 19, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 10, 12, 13, 14, 15, 16, 17, 19, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 10, 14, 15, 19, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 16, 18, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 11, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 12, 13, 16, 17, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 9, 13, 14, 15, 16, 20, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 11, 13, 16, 18, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 11, 14, 15, 18, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 12, 13, 16, 17, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 12, 14, 15, 17, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 10, 13, 14, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 18, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 15, 16, 18, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 8, 12, 13, 14, 15, 16, 17, 21, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 16, 18, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 18, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 16, 17, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 10, 13, 14, 15, 16, 19, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 17, 18, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 11, 13, 14, 15, 16, 18, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 17, 18, 19, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 10, 11, 13, 14, 15, 16, 18, 19, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 10, 12, 13, 14, 15, 16, 17, 19, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 16, 18, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 16, 17, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 12, 14, 15, 17, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 10, 13, 14, 15, 16, 19, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 16, 17, 18, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 11, 13, 14, 15, 16, 18, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 9, 12, 13, 14, 15, 16, 17, 20, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 10, 11, 12, 13, 16, 17, 18, 19, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 10, 11, 12, 14, 15, 17, 18, 19, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 10, 11, 13, 14, 15, 16, 18, 19, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 16, 18, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 12, 13, 16, 17, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 10, 13, 14, 15, 16, 19, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 11, 12, 13, 16, 17, 18, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 11, 13, 14, 15, 16, 18, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 9, 12, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 16, 17, 18, 19, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 10, 11, 12, 14, 15, 17, 18, 19, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 25, 26, 27, 28)
(1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 10, 14, 15, 19, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 16, 18, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 11, 14, 15, 18, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 16, 17, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 12, 14, 15, 17, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 20, 21, 22, 23, 24, 26, 27, 28)
(1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28)
